"","x"
"id",0.121801607045774
"timestamp",0.117204655290762
"full_sq",0.322053681121491
"life_sq",0.35429735197922
"floor",0.115767082077007
"max_floor",0.129900937535835
"material",0.104500204838302
"build_year",0.00357217962561119
"num_room",0.339674600345285
"kitch_sq",0.0316199894097109
"raion_popul",0.150647974516668
"green_zone_part",-0.0924888509846865
"indust_part",-0.0834728459636498
"children_preschool",0.132983386252344
"preschool_quota",0.0640454984241678
"children_school",0.138295367681468
"hospital_beds_raion",0.178280756782833
"healthcare_centers_raion",0.188041232434618
"university_top_20_raion",0.163468659334065
"shopping_centers_raion",0.150691201929893
"office_raion",0.14624764595528
"full_all",0.0247516025025268
"X0_6_all",0.132983386252344
"X7_14_all",0.138295367681468
"X0_17_all",0.138053980078963
"X16_29_all",0.0218893064571834
"X0_13_all",0.136369070954008
"build_count_block",0.0982512569744087
"build_count_wood",-0.0171634929992859
"build_count_frame",-0.00388759189148442
"build_count_brick",0.211923877668571
"build_count_before_1920",0.118397825857274
"build_count_1921.1945",0.0508643563886139
"build_count_1946.1970",0.129790807635765
"build_count_1971.1995",0.0778562391824048
"build_count_after_1995",0.0617995231374724
"metro_min_avto",-0.191314497340551
"metro_km_avto",-0.17838051115901
"metro_min_walk",-0.181679454005627
"metro_km_walk",-0.181679453997656
"school_km",-0.144783967939099
"park_km",-0.186224728741201
"green_zone_km",-0.061386061433439
"industrial_km",0.0534261995164992
"railroad_station_walk_km",-0.131933159820924
"railroad_station_walk_min",-0.131933159823374
"ID_railroad_station_walk",-0.0185224478321738
"railroad_station_avto_km",-0.129060838579516
"railroad_station_avto_min",-0.136556795334195
"public_transport_station_km",-0.119197422808589
"public_transport_station_min_walk",-0.119197422803794
"kremlin_km",-0.277894049877938
"big_road1_km",-0.102888028932256
"big_road2_km",-0.15982796744985
"railroad_km",-0.0943334871759267
"bus_terminal_avto_km",-0.157540056397935
"big_market_km",-0.0474688672891557
"market_shop_km",-0.171625261158532
"fitness_km",-0.189614514347387
"swim_pool_km",-0.209670204842404
"ice_rink_km",-0.153242274369582
"stadium_km",-0.235623813058854
"basketball_km",-0.221636333081975
"public_healthcare_km",-0.171610540678986
"university_km",-0.216923380561945
"workplaces_km",-0.207037276295239
"shopping_centers_km",-0.176784384660274
"office_km",-0.221954610843199
"big_church_km",-0.191673511742744
"price_doc",1
