"","x"
"VAR1",0.153705260371495
"id",0.153683288712978
"timestamp",0.153476591410852
"full_sq",0.248651877842357
"life_sq",NA
"floor",NA
"max_floor",NA
"material",NA
"build_year",NA
"num_room",NA
"kitch_sq",NA
"raion_popul",0.133339164138382
"green_zone_part",-0.0647797783955727
"indust_part",-0.0666068404857734
"children_preschool",0.114540912352045
"preschool_quota",NA
"children_school",0.120397356310856
"hospital_beds_raion",NA
"healthcare_centers_raion",0.157859066636551
"university_top_20_raion",0.11779394680687
"shopping_centers_raion",0.131225886194935
"office_raion",0.101512815545519
"railroad_terminal_raion",0.0488210939492407
"big_market_raion",-0.0531867953426868
"full_all",0.0173863584758492
"X0_6_all",0.114540912352045
"X7_14_all",0.120397356310856
"X0_17_all",0.119638552214701
"X16_29_all",0.0155544839692334
"X0_13_all",0.118151530302829
"build_count_block",NA
"build_count_wood",NA
"build_count_frame",NA
"build_count_brick",NA
"build_count_before_1920",NA
"build_count_1921_1945",NA
"build_count_1946_1970",NA
"build_count_1971_1995",NA
"build_count_after_1995",NA
"metro_min_avto",-0.204159725865085
"metro_km_avto",-0.191430115094203
"metro_min_walk",NA
"metro_km_walk",NA
"school_km",-0.155125039565883
"park_km",-0.1832289589937
"green_zone_km",-0.0592151065936643
"industrial_km",0.0211255661014085
"railroad_station_walk_km",NA
"railroad_station_walk_min",NA
"ID_railroad_station_walk",NA
"railroad_station_avto_km",-0.11597385479561
"railroad_station_avto_min",-0.131604698937779
"public_transport_station_km",-0.137725502913875
"public_transport_station_min_wa",-0.137725502912088
"kremlin_km",-0.251218973013287
"big_road1_km",-0.0815533758441932
"big_road2_km",-0.137427833139575
"railroad_km",-0.0866302605293111
"bus_terminal_avto_km",-0.161907242201213
"big_market_km",-0.0852894601390228
"market_shop_km",-0.160690150419749
"fitness_km",-0.181837084431062
"swim_pool_km",-0.202529803897129
"ice_rink_km",-0.155982930634286
"stadium_km",-0.218092957360349
"basketball_km",-0.218634680090375
"public_healthcare_km",-0.17895577237785
"university_km",-0.203644396541878
"workplaces_km",-0.196897448713286
"shopping_centers_km",-0.175255717851419
"office_km",-0.192240468829806
"big_church_km",-0.19434371250232
"price_doc",0.823467667286603
"pred",0.248651877837897
"abs_error_life_sq",NA
"life_sq_imputed",0.341955059789898
"abs_error_kitch_sq",NA
"kitch_sq_imputed",0.163742138662596
"abs_error_num_room",NA
"num_room_imputed",0.206925612751429
"max_floor_imputed",NA
"build_year_imputed",0.0307940281548866
"material_imputed",0.0518119386244564
"log_price_doc",1
